Class Number_OLD,root_depth_z1,Rooting Fraction1,root_depth_z2,Rooting Fraction2,root_depth_z3,Rooting Fraction3
1,0.1,0.125,1,0.875,0.5,0
2,0.1,0.133,1,0.867,0.5,0
3,0.1,0.133,1,0.867,0.5,0
4,0.1,0.089,1,0.889,0.5,0.022
5,0.1,0.1,1,0.9,0.5,0
6,0.1,0.08,1,0.8,0.5,0.12
7,0.1,0.1,1,0.9,0.5,0
8,0.1,0.08,1,0.8,0.5,0.12
9,0.1,0.089,1,0.889,0.5,0.022
10,0.1,0.173,1,0.827,0.5,0
11,0.1,0.133,1,0.867,0.5,0
12,0.1,0.08,1,0.8,0.5,0.12
13,0.1,1,1,0,0.5,0
14,0.1,1,1,0,0.5,0
15,0.1,1,1,0,0.5,0
16,0.1,1,1,0,0.5,0
17,0.1,1,1,0,0.5,0
18,0.1,1,1,0,0.5,0
19,0.1,1,1,0,0.5,0
20,0.1,1,1,0,0.5,0
